ID,Airline,FlightNo,Departure,Arrival,DepTime
123,LO,LOF3356,ORD,MLI, 7:50AM 
124,AS,ASQ4213,ORD,HPN, 7:51AM 
125,AA,AAL97,ORD,PBI, 7:55AM 
126,AA,AAL392,ORD,LGA, 7:55AM 
127,EG,EGF3353,ORD,DTW, 7:55AM 
128,EG,EGF3364,ORD,LIT, 7:55AM 
129,AS,ASQ5995,ORD,CAK, 7:58AM 
130,AS,ASQ5849,ORD,MSN, 7:58AM 
131,AS,ASH3768,ORD,CHS, 7:59AM 
132,CM,CMP236,ORD,MPTO, 8:00AM 
133,AA,AAL1087,ORD,MMSD, 8:00AM 
134,AA,AAL229,ORD,TPA, 8:00AM 
135,UA,UAL1156,ORD,SAN, 8:00AM 
136,CH,CHQ5285,ORD,RIC, 8:00AM 
137,RP,RPA4348,ORD,MSP, 8:00AM 
138,NK,NKS121,ORD,RSW, 8:00AM 
139,UA,UAL761,ORD,SFO, 8:01AM 
140,GJ,GJS3649,ORD,BWI, 8:01AM 
141,AS,ASQ6079,ORD,ATW, 8:02AM 
142,CA,CAL5231,ORD,IAH, 8:05AM 
143,TC,TCF3564,ORD,LGA, 8:05AM 
144,EG,EGF2932,ORD,ICT, 8:05AM 
145,EG,EGF3155,ORD,MLI, 8:05AM 
146,EG,EGF3260,ORD,YUL, 8:05AM 
147,SK,SKW5258,ORD,LEX, 8:05AM 
148,LO,LOF3386,ORD,PIA, 8:05AM 
149,LO,LOF3374,ORD,DAY, 8:05AM 
150,TC,TCF3568,ORD,DCA, 8:05AM 
151,CH,CHQ4715,ORD,CLE, 8:06AM 
152,UA,UAL1168,ORD,LAX, 8:06AM 
153,SK,SKW5187,ORD,ASE, 8:07AM 
154,GJ,GJS3645,ORD,STL, 8:07AM 
155,UA,UAL1107,ORD,MCO, 8:09AM 
156,WB,WBR2623,ORD,BRL, 8:10AM 
157,AA,AAL2305,ORD,DFW, 8:10AM 
158,AA,AAL395,ORD,SJU, 8:10AM 
159,RP,RPA4238,ORD,ATL, 8:10AM 
160,EG,EGF2956,ORD,IAH, 8:10AM 
161,AS,ASQ5959,ORD,OMA, 8:10AM 
162,SK,SKW5480,ORD,FAR, 8:10AM 
163,SK,SKW5253,ORD,GRB, 8:11AM 
164,AS,ASQ6045,ORD,TUL, 8:12AM 
165,UA,UAL569,ORD,LAS, 8:13AM 
166,SK,SKW5311,ORD,MKE, 8:15AM 
167,UA,UAL1265,ORD,DEN, 8:15AM 
168,CH,CHQ5334,ORD,MSN, 8:15AM 
169,UA,UAL1150,ORD,SNA, 8:15AM 
170,AA,AAL1551,ORD,BOS, 8:15AM 
171,EG,EGF2973,ORD,TUL, 8:15AM 
172,LO,LOF3354,ORD,ICT, 8:15AM 
173,RP,RPA4306,ORD,MSY, 8:15AM 
174,AS,ASQ3831,ORD,LIT, 8:16AM 
175,AS,ASQ6038,ORD,CMH, 8:20AM 
176,AS,ASQ6153,ORD,LNK, 8:20AM 
177,RP,RPA4310,ORD,DEN, 8:20AM 
178,SK,SKW5245,ORD,CVG, 8:20AM 
179,AA,AAL93,ORD,EGE, 8:20AM 
180,UA,UAL744,ORD,BOS, 8:22AM 
181,SK,SKW5567,ORD,XNA, 8:22AM 
182,GJ,GJS3638,ORD,SAT, 8:27AM 
183,GJ,GJS3674,ORD,AUS, 8:27AM 
184,RP,RPA4280,ORD,SLC, 8:30AM 
185,EG,EGF2814,ORD,DBQ, 8:30AM 
186,EG,EGF3271,ORD,IND, 8:30AM 
187,TC,TCF5936,ORD,LGA, 8:30AM 
188,EG,EGF3081,ORD,YYZ, 8:30AM 
189,UA,UAL1286,ORD,IAH, 8:30AM 
190,UA,UAL501,ORD,PHX, 8:30AM 
191,DA,DAL2404,ORD,ATL, 8:30AM 
192,EG,EGF3058,ORD,RST, 8:35AM 
193,EG,EGF3003,ORD,FSD, 8:35AM 
194,CH,CHQ5283,ORD,ROC, 8:35AM 
195,EG,EGF2951,ORD,BNA, 8:35AM 
196,AA,AAL2374,ORD,FLL, 8:35AM 
197,FL,FLG4011,ORD,CVG, 8:35AM 
198,VR,VRD231,ORD,LAX, 8:35AM 
199,UA,UAL1403,ORD,PDX, 8:39AM 
200,EG,EGF3522,ORD,FWA, 8:40AM 
201,AS,ASQ6055,ORD,IND, 8:40AM 
202,AA,AAL1076,ORD,SNA, 8:40AM 
203,UA,UAL638,ORD,EWR, 8:40AM 
204,EG,EGF3627,ORD,JAX, 8:40AM 
205,NK,NKS761,ORD,MSP, 8:41AM 
206,AS,ASQ5976,ORD,ALB, 8:43AM 
207,CH,CHQ5278,ORD,HPN, 8:45AM 
208,AA,AAL1628,ORD,SEA, 8:45AM 
209,AA,AAL90,ORD,EGLL, 8:45AM 
210,AS,ASQ5925,ORD,FSD, 8:45AM 
211,EG,EGF3699,ORD,BUF, 8:45AM 
212,CH,CHQ5352,ORD,PIA, 8:50AM 
213,EG,EGF3395,ORD,DSM, 8:50AM 
214,AS,ASQ6149,ORD,ROC, 8:50AM 
215,EG,EGF3339,ORD,XNA, 8:50AM 
216,EG,EGF3731,ORD,DCA, 8:50AM 
217,UA,UAL382,ORD,IAD, 8:52AM 
218,AS,ASQ4681,ORD,MCI, 8:52AM 
219,AS,ASQ5982,ORD,SGF, 8:53AM 
220,SK,SKW5349,ORD,DLH, 8:53AM 
221,AS,ASH3738,ORD,MSP, 8:54AM 
222,CH,CHQ5292,ORD,BMI, 8:55AM 
223,EG,EGF3664,ORD,AZO, 8:55AM 
224,TC,TCF3485,ORD,BOI, 8:55AM 
225,AA,AAL1444,ORD,PHX, 8:55AM 
226,UA,UAL1198,ORD,MMUN, 8:57AM 
227,AS,ASQ4260,ORD,GRR, 8:58AM 
228,CH,CHQ5317,ORD,LSE, 9:00AM 
229,SK,SKW786U,ORD,MMMY, 9:00AM 
230,SK,SKV7396,ORD,YYZ, 9:00AM 
231,RP,RPA4321,ORD,EWR, 9:00AM 
232,AA,AAL2311,ORD,DFW, 9:00AM 
233,AA,AAL1565,ORD,SAN, 9:00AM 
234,AA,AAL1597,ORD,MMMX, 9:00AM 
235,SK,SKW5494,ORD,MYNN, 9:00AM 
236,TC,TCF5152,ORD,YYC, 9:01AM 
237,UA,UAL759,ORD,SFO, 9:01AM 
238,TC,TCF5148,ORD,YEG, 9:03AM 
239,RP,RPA4235,ORD,PHL, 9:05AM 
240,AA,AAL1346,ORD,MIA, 9:05AM 
241,GJ,GJS3656,ORD,YYZ, 9:05AM 
242,UA,UAL606,ORD,DCA, 9:05AM 
243,UA,UAL661,ORD,LAX, 9:06AM 
