ID,Airline,FlightNo,Departure,Arrival,DepTime
514,UA,UAL895,ORD,VHHH, 1:05PM 
515,CH,CHQ4735,ORD,IND, 1:05PM 
516,UA,UAL614,ORD,DCA, 1:05PM 
517,EG,EGF3518,ORD,BDL, 1:05PM 
518,SK,SKW5332,ORD,PAH, 1:07PM 
519,UA,UAL1091,ORD,LAX, 1:09PM 
520,AS,ASQ6144,ORD,ABE, 1:09PM 
521,UA,UAL1560,ORD,DEN, 1:10PM 
522,CF,CF5147,ORD,YUL, 1:10PM 
523,AA,AAL2325,ORD,DFW, 1:10PM 
524,EG,EGF2941,ORD,DAY, 1:10PM 
525,AS,ASQ6151,ORD,GSO, 1:10PM 
526,AS,ASQ5842,ORD,TVC, 1:11PM 
527,UA,UAL1555,ORD,BUF, 1:11PM 
528,SK,SKW811A,ORD,MSN, 1:11PM 
529,AS,ASQ6072,ORD,CLE, 1:11PM 
530,LO,LOF3400,ORD,PIA, 1:11PM 
531,AS,ASQ4520,ORD,LAN, 1:11PM 
532,SK,SKW5354,ORD,MBS, 1:11PM 
533,UA,UAL211,ORD,IAD, 1:12PM 
534,UA,UAL578,ORD,BOS, 1:13PM 
535,GJ,GJS3657,ORD,MHT, 1:15PM 
536,AA,AAL159,ORD,SAN, 1:15PM 
537,CH,CHQ5280,ORD,CHO, 1:15PM 
538,AS,ASQ5965,ORD,FOE, 1:15PM 
539,SK,SKV7412,ORD,YUL, 1:15PM 
540,SK,SKW5455,ORD,EAU, 1:16PM 
541,UA,UAL1411,ORD,YYZ, 1:17PM 
542,UA,UAL1408,ORD,TPA, 1:20PM 
543,GJ,GJS3619,ORD,CVG, 1:20PM 
544,UA,UAL612,ORD,MDT, 1:20PM 
545,UA,UAL732,ORD,JAX, 1:20PM 
546,UA,UAL1240,ORD,BDL, 1:20PM 
547,LO,LOF3375,ORD,ROC, 1:20PM 
548,LO,LOF3373,ORD,CMH, 1:20PM 
549,EG,EGF3164,ORD,CWA, 1:20PM 
550,SK,SKW5243,ORD,CHS, 1:20PM 
551,EG,EGF3004,ORD,YUL, 1:20PM 
552,EG,EGF3343,ORD,IAH, 1:20PM 
553,AS,ASQ6052,ORD,LEX, 1:20PM 
554,UA,UAL1543,ORD,SFO, 1:20PM 
555,AA,AAL1119,ORD,BOS, 1:20PM 
556,AS,ASQ6069,ORD,PWM, 1:20PM 
557,UA,UAL432,ORD,CLT, 1:20PM 
558,UA,UAL331,ORD,FLL, 1:22PM 
559,TC,TCF3536,ORD,MIA, 1:22PM 
560,GJ,GJS3669,ORD,ORF, 1:23PM 
561,AS,ASQ4112,ORD,SYR, 1:23PM 
562,EG,EGF2966,ORD,DTW, 1:25PM 
563,AS,ASH3802,ORD,ATL, 1:26PM 
564,AS,ASQ5811,ORD,CWA, 1:26PM 
565,TC,TCF5946,ORD,LGA, 1:30PM 
566,AS,ASH3754,ORD,MSP, 1:30PM 
567,AI,AIC126,ORD,VIDP, 1:30PM 
568,EG,EGF2977,ORD,YKF, 1:30PM 
569,SK,SKW5345,ORD,FWA, 1:34PM 
570,AS,ASQ5699,ORD,GSP, 1:34PM 
571,EG,EGF3255,ORD,TYS, 1:35PM 
572,CH,CHQ5294,ORD,ROC, 1:35PM 
573,CH,CHQ5369,ORD,IND, 1:35PM 
574,AS,ASQ4278,ORD,BTV, 1:35PM 
575,EG,EGF2796,ORD,DSM, 1:35PM 
576,TC,TCF3911,ORD,DTW, 1:35PM 
577,EG,EGF3039,ORD,SGF, 1:35PM 
578,AS,ASQ6138,ORD,HSV, 1:38PM 
579,AS,ASH3797,ORD,PVD, 1:38PM 
580,SK,SKW5319,ORD,DLH, 1:39PM 
581,UA,UAL664,ORD,PHL, 1:39PM 
582,UA,UAL626,ORD,PIT, 1:39PM 
583,AS,ASQ4501,ORD,HPN, 1:40PM 
584,AA,AAL358,ORD,LGA, 1:40PM 
585,SK,SKW4487,ORD,SLC, 1:40PM 
586,AW,AWE702,ORD,PHL, 1:45PM 
587,AA,AAL1575,ORD,DCA, 1:45PM 
588,UA,UAL474,ORD,ALB, 1:45PM 
589,EG,EGF3167,ORD,GRB, 1:45PM 
590,EG,EGF3126,ORD,SYR, 1:45PM 
591,RP,RPA4349,ORD,MCI, 1:45PM 
592,AA,AAL1515,ORD,LAX, 1:50PM 
593,RP,RPA4231,ORD,PHL, 1:50PM 
594,EG,EGF3402,ORD,PIT, 1:50PM 
595,AS,ASQ5907,ORD,RIC, 1:53PM 
596,AM,AMX687,ORD,MMMX, 1:55PM 
597,AA,AAL1644,ORD,SNA, 1:55PM 
598,AA,AAL2384,ORD,MSP, 1:55PM 
599,AS,ASQ4552,ORD,BNA, 1:55PM 
600,EG,EGF3154,ORD,BUF, 1:55PM 
601,AW,AWE1829,ORD,CLT, 1:59PM 
602,UA,UAL228,ORD,LGA, 2:00PM 
603,CP,CPA807,ORD,VHHH, 2:00PM 
604,UA,UAL1461,ORD,IAH, 2:01PM 
605,LO,LOF3344,ORD,CLE, 2:01PM 
606,UA,UAL616,ORD,DCA, 2:05PM 
607,AS,ASQ5934,ORD,UNV, 2:06PM 
608,AW,AWE636,ORD,PHX, 2:10PM 
609,EG,EGF2841,ORD,MKE, 2:10PM 
610,AA,AAL2329,ORD,DFW, 2:10PM 
611,AS,ASQ4256,ORD,CAE, 2:13PM 
612,UA,UAL436,ORD,EWR, 2:14PM 
613,UA,UAL944,ORD,EDDF, 2:15PM 
614,EG,EGF3646,ORD,TUL, 2:15PM 
615,RP,RPA4330,ORD,YYZ, 2:15PM 
616,AS,ASQ6126,ORD,ELM, 2:15PM 
617,EG,EGF2768,ORD,CID, 2:15PM 
618,AA,AAL1472,ORD,PHX, 2:15PM 
619,EG,EGF2990,ORD,ATL, 2:15PM 
620,TC,TCF3508,ORD,YOW, 2:16PM 
621,NK,NKS223,ORD,RSW, 2:17PM 
622,SK,SKW5554,ORD,SBN, 2:18PM 
623,UA,UAL288,ORD,MCO, 2:18PM 
624,GJ,GJS3673,ORD,DAY, 2:18PM 
625,EG,EGF3181,ORD,MDT, 2:20PM 
626,RP,RPA4258,ORD,IND, 2:20PM 
627,EG,EGF2914,ORD,BNA, 2:25PM 
628,CP,CPZ5721,ORD,DTW, 2:25PM 
629,AS,ASQ4642,ORD,SAV, 2:26PM 
630,AA,AAL2205,ORD,FLL, 2:30PM 
631,EG,EGF3228,ORD,ART, 2:30PM 
632,AA,AAL1422,ORD,STL, 2:30PM 
633,TC,TCF5948,ORD,LGA, 2:30PM 
634,DA,DAL2562,ORD,ATL, 2:31PM 
635,EG,EGF3125,ORD,OKC, 2:35PM 
636,SK,SKW5239,ORD,IND, 2:35PM 
637,CH,CHQ5333,ORD,LSE, 2:35PM 
638,EG,EGF2906,ORD,EVV, 2:35PM 
639,AS,ASQ5957,ORD,SDF, 2:35PM 
640,RP,RPA4226,ORD,DEN, 2:35PM 
641,CH,CHQ5271,ORD,DBQ, 2:35PM 
642,AS,ASH3727,ORD,MSP, 2:35PM 
643,AS,ASQ5941,ORD,AVP, 2:38PM 
644,RP,RPA4299,ORD,SAT, 2:40PM 
645,AA,AAL197,ORD,SFO, 2:40PM 
646,AA,AAL390,ORD,RDU, 2:45PM 
647,AA,AAL2331,ORD,DFW, 2:45PM 
648,FL,FLG3510,ORD,JFK, 2:45PM 
649,RP,RPA4315,ORD,MSY, 2:45PM 
650,AA,AAL360,ORD,LGA, 2:45PM 
651,AA,AAL1683,ORD,LAS, 2:50PM 
652,TA,TAI409,ORD,MSLP, 2:50PM 
653,CH,CHQ5318,ORD,HPN, 2:50PM 
654,EG,EGF3062,ORD,CVG, 2:50PM 
655,EG,EGF3029,ORD,CLT, 2:50PM 
656,AS,ASH3780,ORD,ATL, 2:51PM 
657,TC,TCF3457,ORD,DTW, 2:51PM 
658,GJ,GJS3670,ORD,GRR, 2:55PM 
659,AA,AAL1566,ORD,MIA, 2:55PM 
660,CH,CHQ4732,ORD,MSN, 2:55PM 
661,EG,EGF3637,ORD,XNA, 2:55PM 
662,AS,ASQ6053,ORD,CLE, 2:55PM 
663,AS,ASQ4538,ORD,ROA, 2:56PM 
664,GJ,GJS3658,ORD,MSY, 2:56PM 
665,SK,SKW5262,ORD,STL, 2:56PM 
666,SK,SKW5555,ORD,YWG, 2:57PM 
667,SK,SKW5508,ORD,YXU, 2:58PM 
668,EG,EGF3209,ORD,ICT, 3:00PM 
669,AS,ASQ4335,ORD,MLI, 3:00PM 
670,UA,UAL1175,ORD,DSM, 3:02PM 
671,AS,ASQ4368,ORD,DAY, 3:02PM 
672,UA,UAL1167,ORD,EWR, 3:02PM 
673,EG,EGF2945,ORD,MLI, 3:05PM 
674,RP,RPA4278,ORD,EWR, 3:05PM 
675,SK,SKW5650,ORD,ATW, 3:05PM 
676,CH,CHQ5336,ORD,SDF, 3:05PM 
677,UA,UAL618,ORD,DCA, 3:05PM 
678,UA,UAL983,ORD,DEN, 3:07PM 
679,SK,SKW4651,ORD,MSP, 3:08PM 
680,SK,SKW4973,ORD,BHM, 3:09PM 
681,EG,EGF3073,ORD,CLE, 3:10PM 
682,TC,TCF3581,ORD,LGA, 3:13PM 
683,CH,CHQ5298,ORD,GRR, 3:15PM 
684,EG,EGF3291,ORD,IAH, 3:15PM 
685,EG,EGF3146,ORD,FAR, 3:15PM 
686,SK,SKW6193,ORD,YYC, 3:15PM 
687,EG,EGF2829,ORD,ALO, 3:15PM 
688,UA,UAL1597,ORD,SFO, 3:16PM 
689,SK,SKW5298,ORD,MKE, 3:18PM 
690,AA,AAL1221,ORD,MCO, 3:20PM 
691,EG,EGF3087,ORD,FSD, 3:20PM 
692,AS,ASQ5826,ORD,TYS, 3:20PM 
693,AA,AAL224,ORD,BOS, 3:20PM 
694,AS,ASA29,ORD,SEA, 3:20PM 
695,TC,TCF3483,ORD,OMA, 3:24PM 
696,AS,ASQ4315,ORD,CVG, 3:25PM 
697,BE,BER7421,ORD,EDDT, 3:25PM 
698,EG,EGF3240,ORD,OMA, 3:25PM 
699,UA,UAL446,ORD,MCI, 3:27PM 
700,AS,ASQ5973,ORD,TUL, 3:28PM 
701,AA,AAL242,ORD,EDDL, 3:30PM 
702,CH,CHQ5282,ORD,FNT, 3:30PM 
703,DA,DAL1677,ORD,ATL, 3:30PM 
704,TC,TCF5950,ORD,LGA, 3:30PM 
705,EG,EGF2976,ORD,MCI, 3:30PM 
706,SK,SKV7402,ORD,YYZ, 3:30PM 
707,RP,RPA4244,ORD,DCA, 3:30PM 
708,SK,SKW5249,ORD,FAR, 3:31PM 
709,AA,AAL365,ORD,STL, 3:35PM 
710,CH,CHQ5307,ORD,AZO, 3:35PM 
711,EG,EGF3401,ORD,COU, 3:35PM 
712,AA,AAL364,ORD,LGA, 3:35PM 
713,EG,EGF3700,ORD,MSN, 3:35PM 
714,CH,CHQ5310,ORD,RST, 3:40PM 
715,NK,NKS245,ORD,LAS, 3:40PM 
716,CH,CHQ5276,ORD,RIC, 3:40PM 
717,GJ,GJS3613,ORD,MSP, 3:42PM 
718,LO,LOF3391,ORD,ICT, 3:43PM 
719,AS,ASQ5980,ORD,XNA, 3:43PM 
720,SK,SKW5199,ORD,ASE, 3:45PM 
721,AS,ASH3789,ORD,PIT, 3:45PM 
722,AA,AAL1445,ORD,LAX, 3:45PM 
723,UA,UAL714,ORD,LAX, 3:48PM 
724,AA,AAL1071,ORD,FLL, 3:50PM 
725,UA,UAL958,ORD,EGLL, 3:50PM 
726,GJ,GJS3624,ORD,CID, 3:54PM 
727,TC,TCF3474,ORD,CLE, 3:54PM 
728,SK,SKV7414,ORD,YUL, 3:55PM 
729,EG,EGF3031,ORD,CMI, 3:55PM 
730,AA,AAL1252,ORD,MIA, 3:55PM 
731,RP,RPA4357,ORD,DTW, 3:55PM 
732,UA,UAL208,ORD,IAH, 3:59PM 
733,UA,UAL1209,ORD,BOS, 3:59PM 
734,UA,UAL688,ORD,LGA, 4:00PM 
735,LO,LOF3392,ORD,SYR, 4:00PM 
736,EG,EGF2813,ORD,CMH, 4:00PM 
737,AS,ASQ5844,ORD,BWI, 4:00PM 
738,UA,UAL1734,ORD,EWR, 4:03PM 
739,TC,TCF3479,ORD,CMH, 4:04PM 
740,AA,AAL2370,ORD,DFW, 4:05PM 
741,AS,ASQ5932,ORD,CAK, 4:05PM 
742,LO,LOF3405,ORD,DSM, 4:07PM 
743,LO,LOF3422,ORD,MEM, 4:07PM 
744,SK,SKW5409,ORD,MKE, 4:08PM 
745,RP,RPA4285,ORD,MSP, 4:10PM 
746,CK,CKK230,ORD,ANC, 4:10PM 
747,AS,ASQ5998,ORD,LIT, 4:10PM 
748,EG,EGF2805,ORD,FWA, 4:10PM 
749,NK,NKS843,ORD,MYR, 4:10PM 
750,TC,TCF3500,ORD,DCA, 4:12PM 
751,UA,UAL1591,ORD,IAD, 4:15PM 
752,AS,ASQ5703,ORD,CAE, 4:15PM 
753,RP,RPA4248,ORD,BDL, 4:15PM 
754,AW,AWE798,ORD,PHL, 4:15PM 
755,SK,SKW6225,ORD,DFW, 4:15PM 
756,AS,ASQ6164,ORD,LEX, 4:15PM 
757,AA,AAL1125,ORD,PHX, 4:15PM 
758,GJ,GJS3702,ORD,STL, 4:17PM 
759,AS,ASQ6171,ORD,YYZ, 4:18PM 
760,AS,ASH3743,ORD,CVG, 4:19PM 
761,AA,AAL1431,ORD,SEA, 4:20PM 
762,AW,AWE1885,ORD,CLT, 4:20PM 
763,AS,ASQ6050,ORD,DTW, 4:20PM 
764,RP,RPA4336,ORD,PIT, 4:20PM 
765,CH,CHQ4978,ORD,SDF, 4:20PM 
766,RP,RPA4253,ORD,YYZ, 4:25PM 
767,EG,EGF3538,ORD,BNA, 4:25PM 
768,AA,AAL2344,ORD,MMUN, 4:25PM 
769,AS,ASQ5862,ORD,LAN, 4:28PM 
770,EG,EGF3160,ORD,IND, 4:30PM 
771,AN,ANA1011,ORD,RJAA, 4:30PM 
772,AA,AAL1502,ORD,PSP, 4:30PM 
773,UA,UAL681,ORD,SFO, 4:30PM 
774,EG,EGF3421,ORD,TOL, 4:30PM 
775,TC,TCF5952,ORD,LGA, 4:30PM 
776,EG,EGF3227,ORD,SGF, 4:35PM 
777,SK,SKW5559,ORD,TVC, 4:35PM 
778,CH,CHQ5296,ORD,CID, 4:35PM 
779,EG,EGF3239,ORD,SYR, 4:35PM 
780,EG,EGF2769,ORD,BMI, 4:35PM 
781,GJ,GJS3698,ORD,PHL, 4:35PM 
782,SK,SKW865X,ORD,IND, 4:37PM 
783,GJ,GJS3620,ORD,ATL, 4:37PM 
784,AS,ASQ5825,ORD,BNA, 4:38PM 
785,AS,ASQ5848,ORD,GRR, 4:38PM 
786,AA,AAL1215,ORD,PDX, 4:40PM 
787,EG,EGF3262,ORD,GRB, 4:40PM 
788,AA,AAL2271,ORD,LAX, 4:40PM 
789,LO,LOF3416,ORD,SGF, 4:40PM 
790,DA,DAL1908,ORD,DTW, 4:40PM 
791,SK,SKW4524,ORD,SLC, 4:40PM 
792,AS,ASQ5673,ORD,LNK, 4:41PM 
793,AS,ASQ5860,ORD,DAY, 4:42PM 
794,AS,ASH3776,ORD,ROC, 4:43PM 
795,DA,DAL1877,ORD,ATL, 4:45PM 
796,AS,ASH3783,ORD,PIT, 4:45PM 
797,EG,EGF2929,ORD,LIT, 4:45PM 
798,RP,RPA4264,ORD,EWR, 4:50PM 
799,EG,EGF3032,ORD,BWI, 4:50PM 
800,AS,ASQ5924,ORD,TYS, 4:51PM 
801,EG,EGF3733,ORD,EVV, 4:55PM 
802,AS,ASQ4472,ORD,BUF, 4:55PM 
803,EG,EGF3716,ORD,DAY, 4:55PM 
804,UA,UAL530,ORD,MSP, 4:58PM 
805,AS,ASH3779,ORD,ATW, 5:00PM 
806,EG,EGF2987,ORD,MEM, 5:00PM 
807,AA,AAL42,ORD,LFPG, 5:00PM 
808,GJ,GJS3661,ORD,MSN, 5:00PM 
809,EG,EGF2958,ORD,DTW, 5:00PM 
810,AS,ASQ4516,ORD,CLT, 5:00PM 
811,RP,RPA4319,ORD,PHL, 5:00PM 
812,UA,UAL1218,ORD,LGA, 5:00PM 
813,SK,SKW4598,ORD,CVG, 5:00PM 
814,SK,SKW5472,ORD,SPI, 5:03PM 
815,UA,UAL1731,ORD,MCO, 5:05PM 
816,CS,CSN478,ORD,ZSPD, 5:05PM 
817,AS,ASQ6165,ORD,MCI, 5:05PM 
818,VR,VRD241,ORD,LAX, 5:05PM 
819,AS,ASA675,ORD,PDX, 5:05PM 
820,AW,AWE563,ORD,PHX, 5:05PM 
821,BA,BAW294,ORD,EGLL, 5:05PM 
822,SK,SKW5434,ORD,MKG, 5:05PM 
823,LO,LOF3393,ORD,PIA, 5:06PM 
824,AS,ASQ5950,ORD,XNA, 5:06PM 
825,AS,ASQ4420,ORD,FSD, 5:06PM 
826,SK,SKW5191,ORD,ASE, 5:07PM 
827,SK,SKW718E,ORD,BOI, 5:08PM 
828,SK,SKW5412,ORD,MKE, 5:08PM 
829,UA,UAL330,ORD,EWR, 5:09PM 
830,UA,UAL665,ORD,SNA, 5:10PM 
831,SK,SKW581F,ORD,SAT, 5:10PM 
832,SK,SKW717C,ORD,OMA, 5:12PM 
833,DA,DAL2427,ORD,MSP, 5:12PM 
834,UA,UAL1582,ORD,DEN, 5:13PM 
835,EG,EGF3112,ORD,CMH, 5:15PM 
836,EG,EGF2849,ORD,BUF, 5:15PM 
837,NK,NKS425,ORD,FLL, 5:15PM 
838,AA,AAL2345,ORD,DFW, 5:15PM 
839,AA,AAL2261,ORD,AUS, 5:15PM 
840,AA,AAL114,ORD,MIA, 5:15PM 
841,EG,EGF3188,ORD,CLT, 5:20PM 
842,FL,FLG3388,ORD,MEM, 5:20PM 
843,CH,CHQ5309,ORD,CVG, 5:20PM 
844,UA,UAL493,ORD,SFO, 5:20PM 
845,AA,AAL1186,ORD,STL, 5:20PM 
846,TC,TCF3454,ORD,CID, 5:21PM 
847,TC,TCF3537,ORD,MSP, 5:23PM 
848,SK,SKV7404,ORD,YYZ, 5:25PM 
849,LO,LOT2,ORD,EPWA, 5:25PM 
850,EG,EGF3143,ORD,ATL, 5:25PM 
851,RP,RPA4320,ORD,YYZ, 5:25PM 
852,AA,AAL2299,ORD,DCA, 5:25PM 
853,EG,EGF3687,ORD,MSP, 5:30PM 
854,TC,TCF5954,ORD,LGA, 5:30PM 
855,RP,RPA4250,ORD,MCI, 5:30PM 
856,AA,AAL1531,ORD,SAN, 5:30PM 
857,UA,UAL275,ORD,AUS, 5:34PM 
858,AA,AAL1459,ORD,RNO, 5:35PM 
859,AA,AAL352,ORD,LGA, 5:35PM 
860,AS,ASQ6107,ORD,GRB, 5:36PM 
861,SK,SKW5382,ORD,MBS, 5:37PM 
862,AS,ASQ6119,ORD,OKC, 5:37PM 
863,EG,EGF3161,ORD,DSM, 5:40PM 
864,TC,TCF3553,ORD,IND, 5:42PM 
865,CH,CHQ5332,ORD,LSE, 5:45PM 
866,UA,UAL928,ORD,EGLL, 5:50PM 
867,AS,ASQ6056,ORD,YWG, 5:55PM 
868,DL,DLH437,ORD,EDDL, 5:55PM 
869,UA,UAL1705,ORD,YYC, 5:55PM 
870,AW,AWE2095,ORD,CLT, 5:59PM 
871,AS,ASQ5478,ORD,ATL, 6:01PM 
872,AA,AAL350,ORD,LGA, 6:01PM 
873,TC,TCF3514,ORD,DFW, 6:01PM 
874,RP,RPA4246,ORD,PIT, 6:01PM 
875,LO,LOF3417,ORD,MEM, 6:01PM 
876,AA,AAL86,ORD,EGLL, 6:01PM 
877,AA,AAL54,ORD,EGCC, 6:01PM 
878,UA,UAL909,ORD,EHAM, 6:01PM 
879,UA,UAL1178,ORD,DCA, 6:03PM 
880,AS,ASQ5916,ORD,MOB, 6:04PM 
881,EG,EGF2997,ORD,BNA, 6:05PM 
882,CH,CHQ5304,ORD,PIA, 6:05PM 
883,UA,UAL972,ORD,EBBR, 6:05PM 
884,AS,ASQ5985,ORD,SBN, 6:05PM 
885,EG,EGF2898,ORD,CLE, 6:05PM 
886,AA,AAL1474,ORD,PBI, 6:05PM 
887,UA,UAL884,ORD,EWR, 6:08PM 
888,UA,UAL1548,ORD,CMH, 6:08PM 
889,GJ,GJS3605,ORD,STL, 6:08PM 
890,SK,SKW5425,ORD,MKE, 6:09PM 
891,SK,SKW363U,ORD,SLC, 6:10PM 
892,AA,AAL187,ORD,ZBAA, 6:10PM 
893,EG,EGF3192,ORD,CMH, 6:10PM 
894,AW,AWE2094,ORD,CLT, 6:10PM 
895,CH,CHQ5345,ORD,AZO, 6:10PM 
896,UA,UAL987,ORD,LFPG, 6:10PM 
897,AS,ASQ6017,ORD,BNA, 6:10PM 
898,SK,SKW6365,ORD,MSN, 6:10PM 
899,LO,LOF3412,ORD,DAY, 6:13PM 
900,UA,UAL1297,ORD,CLE, 6:13PM 
901,AS,ASQ6033,ORD,CWA, 6:15PM 
902,EG,EGF2939,ORD,CMI, 6:15PM 
903,AA,AAL1068,ORD,MIA, 6:15PM 
904,AS,ASQ5679,ORD,HPN, 6:15PM 
905,AS,ASQ5922,ORD,BHM, 6:15PM 
906,TC,TCF3512,ORD,YOW, 6:16PM 
907,UA,UAL1739,ORD,YYZ, 6:16PM 
908,UA,UAL1058,ORD,MSY, 6:16PM 
909,EG,EGF3412,ORD,DTW, 6:20PM 
910,UA,UAL728,ORD,IAD, 6:20PM 
911,VR,VRD211,ORD,SFO, 6:20PM 
912,UA,UAL1647,ORD,IAH, 6:23PM 
913,CH,CHQ4976,ORD,SDF, 6:24PM 
914,UA,UAL685,ORD,SFO, 6:24PM 
915,UA,UAL1505,ORD,RIC, 6:25PM 
916,AS,ASQ5951,ORD,YHZ, 6:25PM 
917,UA,UAL1196,ORD,BOS, 6:25PM 
918,AS,ASQ5702,ORD,CAE, 6:25PM 
919,AS,ASQ4341,ORD,GSO, 6:26PM 
920,LO,LOF3372,ORD,ABE, 6:26PM 
921,AS,ASH3781,ORD,PVD, 6:27PM 
922,TC,TCF5956,ORD,LGA, 6:30PM 
923,AS,ASQ6026,ORD,UNV, 6:30PM 
924,UA,UAL1425,ORD,LAX, 6:30PM 
925,TC,TCF3914,ORD,YUL, 6:30PM 
926,SK,SKW558Z,ORD,CVG, 6:33PM 
927,UA,UAL1274,ORD,GRR, 6:34PM 
928,TC,TCF6015,ORD,DTW, 6:34PM 
929,SK,SKW4836,ORD,SLC, 6:34PM 
930,AS,ASQ4560,ORD,GSP, 6:35PM 
931,FL,FLG3522,ORD,JFK, 6:35PM 
932,AA,AAL2347,ORD,DFW, 6:35PM 
933,AS,ASH3791,ORD,CHS, 6:38PM 
934,UA,UAL253,ORD,ATL, 6:38PM 
935,AA,AAL1617,ORD,LAX, 6:40PM 
936,JB,JBU112,ORD,BOS, 6:40PM 
937,WB,WBR2625,ORD,BRL, 6:40PM 
938,EG,EGF3719,ORD,XNA, 6:45PM 
939,AA,AAL1634,ORD,STL, 6:45PM 
940,EG,EGF2866,ORD,ART, 6:45PM 
941,EG,EGF3772,ORD,CVG, 6:45PM 
942,UA,UAL1552,ORD,ROC, 6:48PM 
943,CH,CHQ5291,ORD,SDF, 6:50PM 
944,CH,CHQ5300,ORD,HPN, 6:50PM 
945,DL,DLH8220,ORD,MMMX, 6:50PM 
946,AS,ASQ4637,ORD,SAV, 6:51PM 
947,UA,UAL1576,ORD,MCO, 6:51PM 
948,NK,NKS903,ORD,DFW, 6:52PM 
949,SK,SKW5577,ORD,YQT, 6:54PM 
950,AW,AWE895,ORD,PHL, 6:55PM 
951,UA,UAL1171,ORD,BDL, 6:55PM 
952,AS,ASH3788,ORD,BTV, 6:55PM 
953,UA,UAL1492,ORD,EWR, 6:57PM 
954,CH,CHQ5287,ORD,LEX, 7:00PM 
955,SK,SKV7416,ORD,YUL, 7:00PM 
956,AA,AAL1402,ORD,FLL, 7:00PM 
957,WB,WBR2505,ORD,DEC, 7:00PM 
958,CH,CHQ4717,ORD,IND, 7:00PM 
959,UA,UAL774,ORD,PIT, 7:00PM 
960,AA,AAL348,ORD,LGA, 7:00PM 
961,AA,AAL1590,ORD,MIA, 7:00PM 
962,AA,AAL1399,ORD,SFO, 7:00PM 
963,EG,EGF3033,ORD,SGF, 7:00PM 
964,SK,SKW5329,ORD,AVL, 7:04PM 
965,UA,UAL730,ORD,BWI, 7:05PM 
966,EG,EGF2895,ORD,MHK, 7:05PM 
967,AA,AAL2327,ORD,TPA, 7:05PM 
968,GJ,GJS3676,ORD,ORF, 7:05PM 
969,AA,AAL1516,ORD,RSW, 7:05PM 
970,UA,UAL1243,ORD,TPA, 7:05PM 
971,EG,EGF2968,ORD,MDT, 7:05PM 
972,TC,TCF3494,ORD,LGA, 7:06PM 
973,AS,ASQ5926,ORD,YQB, 7:08PM 
974,SW,SWR9,ORD,LSZH, 7:10PM 
975,AA,AAL2383,ORD,SNA, 7:10PM 
976,RP,RPA4232,ORD,PHL, 7:10PM 
977,EG,EGF2842,ORD,BMI, 7:10PM 
978,UA,UAL1702,ORD,IAH, 7:11PM 
979,AS,ASQ4147,ORD,CLE, 7:11PM 
980,EI,EIN124,ORD,EIDW, 7:15PM 
981,AA,AAL2403,ORD,SJC, 7:15PM 
982,UA,UAL488,ORD,ALB, 7:15PM 
983,EG,EGF2993,ORD,ICT, 7:15PM 
984,EG,EGF2971,ORD,MLI, 7:15PM 
985,AS,ASQ6046,ORD,CAK, 7:20PM 
986,CH,CHQ5284,ORD,LSE, 7:20PM 
987,EG,EGF3117,ORD,SUX, 7:20PM 
988,EG,EGF3078,ORD,SYR, 7:20PM 
989,AS,ASQ4660,ORD,TYS, 7:23PM 
990,CP,CPZ5689,ORD,MSP, 7:25PM 
991,AA,AAL288,ORD,BOS, 7:25PM 
992,EG,EGF3094,ORD,CMH, 7:25PM 
993,TC,TCF3504,ORD,DCA, 7:25PM 
994,AA,AAL2469,ORD,PHX, 7:25PM 
995,UA,UAL741,ORD,SFO, 7:25PM 
996,EG,EGF2729,ORD,CMI, 7:30PM 
997,AS,ASQ5909,ORD,MHT, 7:30PM 
998,TC,TCF5958,ORD,LGA, 7:30PM 
999,AA,AAL354,ORD,TUS, 7:30PM 
1000,AA,AAL2427,ORD,LAS, 7:35PM 
1001,RP,RPA4338,ORD,PIT, 7:35PM 
1002,EG,EGF3383,ORD,XNA, 7:35PM 
1003,RP,RPA4230,ORD,EWR, 7:35PM 
1004,CH,CHQ5279,ORD,RST, 7:35PM 
1005,AA,AAL2349,ORD,DFW, 7:35PM 
1006,EG,EGF3107,ORD,CWA, 7:35PM 
1007,AS,ASQ6093,ORD,CRW, 7:38PM 
1008,UA,UAL1177,ORD,DEN, 7:38PM 
1009,NK,NKS763,ORD,MSP, 7:43PM 
1010,JB,JBU1106,ORD,JFK, 7:45PM 
1011,UA,UAL278,ORD,MDT, 7:45PM 
1012,EG,EGF2899,ORD,MEM, 7:45PM 
1013,AA,AAL128,ORD,RDU, 7:45PM 
1014,AS,ASH3762,ORD,MIA, 7:45PM 
1015,AS,ASQ6014,ORD,JAX, 7:45PM 
1016,EG,EGF2863,ORD,ALO, 7:45PM 
1017,AA,AAL154,ORD,MCO, 7:45PM 
1018,UA,UAL1737,ORD,DTW, 7:50PM 
1019,UA,UAL411,ORD,LAX, 7:50PM 
1020,UA,UAL1089,ORD,PHL, 7:50PM 
1021,AS,ASQ5705,ORD,PWM, 7:50PM 
1022,EG,EGF2982,ORD,TVC, 7:50PM 
1023,AS,ASQ4668,ORD,ROA, 7:50PM 
1024,AS,ASQ4097,ORD,SYR, 7:50PM 
1025,UA,UAL1263,ORD,BUF, 7:50PM 
1026,EG,EGF3223,ORD,YKF, 7:50PM 
1027,EG,EGF3356,ORD,TYS, 7:50PM 
1028,UA,UAL1616,ORD,MSP, 7:51PM 
